size,dijkstra,floydwarshall
629,2495.13,3382.32
185,57.722,86.608
979,17007.1,12190.1
905,12351.6,10050.9
548,1469.13,2164.9
648,2476.94,3573.23
446,780.863,1111.74
502,1177.23,1868.36
342,349.27,509.053
229,100.49,149.969
947,14301,11432.1
982,15772.6,12757.2
606,1906.01,2734.35
76,3.482,5.51
116,12.72,22.531
359,379.143,553.529
412,607.339,866.239
771,4290.17,5869.04
932,10581.2,10704.8
881,6334.03,8720.18
395,553.275,785.524
148,27.342,40.831
810,4841.69,6656.12
404,551.097,789.846
386,479.463,729.546
261,147.047,214.21
299,223.662,337.067
344,341.282,485.885
65,2.233,3.44
604,1881.01,2665.61
