size,dijkstra,floydwarshall
102,11.302,13.778
114,18.116,18.636
121,19.072,24.346
209,93.822,116.578
211,101.873,121.804
235,136.055,168.163
266,196.552,248.292
272,209.958,250.28
290,251.864,300.068
303,291.316,353.157
313,325.96,383.998
326,359.161,434.777
401,685.453,801.741
402,680.653,803.25
447,941.229,1099.04
515,1591.16,1974.17
516,1685.51,1761.52
516,1413.72,1707.19
587,2089.51,2496.65
591,2147.96,2534.41
629,2578.53,3063.33
645,2878.33,3309.16
767,4991.59,5613.72
797,5782.28,6427.8
826,6501.45,7175.14
847,7258.27,7740.34
880,8492.58,8652.54
932,12476.5,10172.1
972,11922,12130.6
982,13702.9,11663.6
